edge_id,source_node_id,target_node_id,relationship,evidence_source,verification_status
KGE000001,COMPANY:DAYJOY,CATEGORY:food-products,HAS_CATEGORY,01_CANONICAL/company/dayjoy_categories.csv,verified
KGE000002,COMPANY:DAYJOY,CATEGORY:personal-care,HAS_CATEGORY,01_CANONICAL/company/dayjoy_categories.csv,verified
KGE000003,COMPANY:DAYJOY,CATEGORY:skin-care,HAS_CATEGORY,01_CANONICAL/company/dayjoy_categories.csv,verified
KGE000004,COMPANY:DAYJOY,CATEGORY:color-cosmetics,HAS_CATEGORY,01_CANONICAL/company/dayjoy_categories.csv,verified
KGE000005,COMPANY:DAYJOY,CATEGORY:health-care,HAS_CATEGORY,01_CANONICAL/company/dayjoy_categories.csv,verified
KGE000006,COMPANY:DAYJOY,CATEGORY:home-care,HAS_CATEGORY,01_CANONICAL/company/dayjoy_categories.csv,verified
KGE000007,COMPANY:DAYJOY,CATEGORY:clothing,HAS_CATEGORY,01_CANONICAL/company/dayjoy_categories.csv,verified
KGE000008,COMPANY:DAYJOY,CATEGORY:agriculture-veterinary,HAS_CATEGORY,01_CANONICAL/company/dayjoy_categories.csv,verified
KGE000009,COMPANY:DAYJOY,CATEGORY:germanium-magnetic,HAS_CATEGORY,01_CANONICAL/company/dayjoy_categories.csv,verified
KGE000010,COMPANY:DAYJOY,CATEGORY:aqua-essentials,HAS_CATEGORY,01_CANONICAL/company/dayjoy_categories.csv,verified
KGE000011,COMPANY:DAYJOY,CATEGORY:promotion-tools,HAS_CATEGORY,01_CANONICAL/company/dayjoy_categories.csv,verified
KGE000012,COMPANY:DAYJOY,CATEGORY:combo-packages,HAS_CATEGORY,01_CANONICAL/company/dayjoy_categories.csv,verified
KGE000013,COMPANY:DAYJOY,PRODUCT:DJP1000,SELLS_PRODUCT,01_CANONICAL/products/dayjoy_product_master_canonical.csv,verified
KGE000014,PRODUCT:DJP1000,CATEGORY:food-products,BELONGS_TO_CATEGORY,01_CANONICAL/products/dayjoy_product_master_canonical.csv,verified
KGE000015,COMPANY:DAYJOY,PRODUCT:DJP1001,SELLS_PRODUCT,01_CANONICAL/products/dayjoy_product_master_canonical.csv,verified
KGE000016,PRODUCT:DJP1001,CATEGORY:food-products,BELONGS_TO_CATEGORY,01_CANONICAL/products/dayjoy_product_master_canonical.csv,verified
KGE000017,COMPANY:DAYJOY,PRODUCT:DJP1002,SELLS_PRODUCT,01_CANONICAL/products/dayjoy_product_master_canonical.csv,verified
KGE000018,PRODUCT:DJP1002,CATEGORY:food-products,BELONGS_TO_CATEGORY,01_CANONICAL/products/dayjoy_product_master_canonical.csv,verified
KGE000019,COMPANY:DAYJOY,PRODUCT:DJP1003,SELLS_PRODUCT,01_CANONICAL/products/dayjoy_product_master_canonical.csv,verified
KGE000020,PRODUCT:DJP1003,CATEGORY:food-products,BELONGS_TO_CATEGORY,01_CANONICAL/products/dayjoy_product_master_canonical.csv,verified
