relationship_id,product_a_id,product_b_id,relationship_type,co_occurrence_count,source
1,81,106,recommended_combination,118,recommendation_chart
2,106,81,recommended_combination,118,recommendation_chart
3,103,81,recommended_combination,114,recommendation_chart
4,81,103,recommended_combination,114,recommendation_chart
5,106,103,recommended_combination,94,recommendation_chart
6,103,106,recommended_combination,94,recommendation_chart
7,106,107,recommended_combination,36,recommendation_chart
8,107,106,recommended_combination,36,recommendation_chart
9,107,81,recommended_combination,36,recommendation_chart
10,81,107,recommended_combination,36,recommendation_chart
11,101,106,recommended_combination,33,recommendation_chart
12,106,101,recommended_combination,33,recommendation_chart
13,101,81,recommended_combination,33,recommendation_chart
14,81,101,recommended_combination,33,recommendation_chart
15,96,81,recommended_combination,32,recommendation_chart
16,81,96,recommended_combination,32,recommendation_chart
17,96,93,recommended_combination,32,recommendation_chart
18,93,96,recommended_combination,32,recommendation_chart
19,103,82,recommended_combination,30,recommendation_chart
20,82,103,recommended_combination,30,recommendation_chart
21,103,107,recommended_combination,30,recommendation_chart
22,107,103,recommended_combination,30,recommendation_chart
23,106,96,recommended_combination,29,recommendation_chart
24,96,106,recommended_combination,29,recommendation_chart
25,103,96,recommended_combination,26,recommendation_chart
26,96,103,recommended_combination,26,recommendation_chart
27,71,106,recommended_combination,24,recommendation_chart
28,101,71,recommended_combination,24,recommendation_chart
29,106,71,recommended_combination,24,recommendation_chart
30,93,81,recommended_combination,24,recommendation_chart
31,71,81,recommended_combination,24,recommendation_chart
32,81,93,recommended_combination,24,recommendation_chart
33,81,71,recommended_combination,24,recommendation_chart
34,71,101,recommended_combination,24,recommendation_chart
35,101,103,recommended_combination,23,recommendation_chart
36,103,101,recommended_combination,23,recommendation_chart
37,93,82,recommended_combination,22,recommendation_chart
38,103,93,recommended_combination,22,recommendation_chart
39,103,73,recommended_combination,22,recommendation_chart
40,73,103,recommended_combination,22,recommendation_chart
41,73,93,recommended_combination,22,recommendation_chart
42,82,73,recommended_combination,22,recommendation_chart
43,73,82,recommended_combination,22,recommendation_chart
44,93,73,recommended_combination,22,recommendation_chart
45,93,103,recommended_combination,22,recommendation_chart
46,82,93,recommended_combination,22,recommendation_chart
47,67,81,recommended_combination,20,recommendation_chart
