node_id,node_type,label,source_id
COMPANY:DAYJOY,Company,Dayjoy Marketing Private Limited,01_CANONICAL/company/dayjoy_company_overview.csv
CATEGORY:food-products,Category,FOOD PRODUCTS,01_CANONICAL/company/dayjoy_categories.csv
CATEGORY:personal-care,Category,PERSONAL CARE,01_CANONICAL/company/dayjoy_categories.csv
CATEGORY:skin-care,Category,SKIN CARE,01_CANONICAL/company/dayjoy_categories.csv
CATEGORY:color-cosmetics,Category,COLOR COSMETICS,01_CANONICAL/company/dayjoy_categories.csv
CATEGORY:health-care,Category,HEALTH CARE,01_CANONICAL/company/dayjoy_categories.csv
CATEGORY:home-care,Category,HOME CARE,01_CANONICAL/company/dayjoy_categories.csv
CATEGORY:clothing,Category,CLOTHING,01_CANONICAL/company/dayjoy_categories.csv
CATEGORY:agriculture-veterinary,Category,AGRICULTURE & VETERINARY,01_CANONICAL/company/dayjoy_categories.csv
CATEGORY:germanium-magnetic,Category,GERMANIUM & MAGNETIC,01_CANONICAL/company/dayjoy_categories.csv
CATEGORY:aqua-essentials,Category,AQUA ESSENTIALS,01_CANONICAL/company/dayjoy_categories.csv
CATEGORY:promotion-tools,Category,PROMOTION TOOLS,01_CANONICAL/company/dayjoy_categories.csv
CATEGORY:combo-packages,Category,COMBO PACKAGES,01_CANONICAL/company/dayjoy_categories.csv
PRODUCT:DJP1000,Product,Black Salt Sprinkler (200g),DJP1000
PRODUCT:DJP1001,Product,Chaat Masala (100g),DJP1001
PRODUCT:DJP1002,Product,Chicken Masala (100g),DJP1002
PRODUCT:DJP1003,Product,Daily Tea (250g),DJP1003
PRODUCT:DJP1004,Product,Daily Tea (500g),DJP1004
PRODUCT:DJP1005,Product,Dhaniya Powder (25g),DJP1005
PRODUCT:DJP1006,Product,Dhaniya Powder (200g),DJP1006
PRODUCT:DJP1007,Product,Dhaniya Powder (500g),DJP1007
PRODUCT:DJP1008,Product,Garam Masala (100g),DJP1008
PRODUCT:DJP1009,Product,Haldi Powder (25g),DJP1009
PRODUCT:DJP1010,Product,Haldi Powder (200g),DJP1010
PRODUCT:DJP1011,Product,Haldi Powder (500g),DJP1011
PRODUCT:DJP1012,Product,Himalayan Pink Salt Sprinkler (200g),DJP1012
PRODUCT:DJP1013,Product,Jaljeera (100g),DJP1013
PRODUCT:DJP1014,Product,Organic Jeera (250g),DJP1014
PRODUCT:DJP1015,Product,Kasuri Methi (50g),DJP1015
PRODUCT:DJP1016,Product,Mirchi Powder (25g),DJP1016
PRODUCT:DJP1017,Product,Mirchi Powder (200g),DJP1017
PRODUCT:DJP1018,Product,Mirchi Powder (500g),DJP1018
PRODUCT:DJP1019,Product,Rai (250g),DJP1019
PRODUCT:DJP1020,Product,Sabji Masala (100g),DJP1020
PRODUCT:DJP1021,Product,New Total Joy Rice Bran Oil (1 Litre),DJP1021
PRODUCT:DJP1022,Product,Total Joy Rice Bran Oil (2 Litre),DJP1022
PRODUCT:DJP1023,Product,Veg Biryani with Shahi Gravy,DJP1023
PRODUCT:DJP1024,Product,Poha with Bhujia,DJP1024
PRODUCT:DJP1025,Product,Upma with Bhujia,DJP1025
PRODUCT:DJP1026,Product,Anti Pollution Face Wash (150ml),DJP1026
PRODUCT:DJP1027,Product,Anti Pollution Aloevera Face Wash (100ml),DJP1027
PRODUCT:DJP1028,Product,Aloevera Gel (100g),DJP1028
PRODUCT:DJP1029,Product,BR Rich Oil (200ml),DJP1029
PRODUCT:DJP1030,Product,Daily Care Cream (60g),DJP1030
PRODUCT:DJP1031,Product,Luxury Saffron Soap (100g),DJP1031
PRODUCT:DJP1032,Product,Ecofriendly Toothbrush (Pack of 2),DJP1032
PRODUCT:DJP1033,Product,HerboSmile Herbal Toothpaste (100g),DJP1033
PRODUCT:DJP1034,Product,Hydra Aloevera Body Lotion (300ml),DJP1034
PRODUCT:DJP1035,Product,Kesham (100ml),DJP1035
PRODUCT:DJP1036,Product,Luxwash Handwash (250ml),DJP1036
PRODUCT:DJP1037,Product,Milk & Keratin Extracts Shampoo (100ml),DJP1037
PRODUCT:DJP1038,Product,Milk Bath Soap (100g),DJP1038
PRODUCT:DJP1039,Product,Milk Bath Soap (Pack of 3) (100g),DJP1039
PRODUCT:DJP1040,Product,Neem & Tulsi Herbal Soap (100g) (Pack of 3),DJP1040
PRODUCT:DJP1041,Product,Regain Aloevera Shampoo (300ml),DJP1041
PRODUCT:DJP1042,Product,Sandalwood & Shahi Gulab Body Lotion (150ml),DJP1042
PRODUCT:DJP1043,Product,Sanitary Pad (XL) (Pack of 10),DJP1043
PRODUCT:DJP1044,Product,Sanitary Pad (XXL) (Pack of 10),DJP1044
PRODUCT:DJP1045,Product,Seabuckthron Facial Kit (30g) (Pack of 6),DJP1045
PRODUCT:DJP1046,Product,Seabuckthron Cleanser (30g),DJP1046
PRODUCT:DJP1047,Product,Seabuckthron Scrub (30g),DJP1047
PRODUCT:DJP1048,Product,Seabuckthron Massage Gel (30g),DJP1048
PRODUCT:DJP1049,Product,Seabuckthron Massage Cream (30g),DJP1049
PRODUCT:DJP1050,Product,Seabuckthron Face Pack (30g),DJP1050
PRODUCT:DJP1051,Product,Seabuckthron Facial Fluid (10ml),DJP1051
PRODUCT:DJP1052,Product,Deep Cleansing Face Wash (100ml),DJP1052
PRODUCT:DJP1053,Product,Deep Cleansing Facewash (60ml),DJP1053
PRODUCT:DJP1054,Product,WildMuse Premium Loofah,DJP1054
PRODUCT:DJP1055,Product,Amla Reetha Sikakai Shampoo (100ml),DJP1055
PRODUCT:DJP1056,Product,Haldi Chandan Facewash (60ml),DJP1056
PRODUCT:DJP1057,Product,Face Serum (30ml),DJP1057
PRODUCT:DJP1058,Product,Gold Facial Kit,DJP1058
PRODUCT:DJP1059,Product,Sunscreen SPF 50+ (50gm),DJP1059
PRODUCT:DJP1060,Product,Hydra Max Moisturizer (50gm),DJP1060
PRODUCT:DJP1061,Product,AgeX Anti-Ageing Night Cream (50gm),DJP1061
PRODUCT:DJP1062,Product,AcneX Anti-Acne Foaming Cleanser (100ml),DJP1062
PRODUCT:DJP1063,Product,Amara Beauty Kajal,DJP1063
PRODUCT:DJP1064,Product,Amara Beauty Eyeliner,DJP1064
PRODUCT:DJP1065,Product,Asthprash (300 grams),DJP1065
PRODUCT:DJP1066,Product,Adicardial (120 Tab),DJP1066
PRODUCT:DJP1067,Product,Adicardial Syrup (500ml),DJP1067
PRODUCT:DJP1068,Product,Adila Forte (30 Tab),DJP1068
PRODUCT:DJP1069,Product,Adila Forte (60 Tab),DJP1069
PRODUCT:DJP1070,Product,Adilipo (120 Tab),DJP1070
PRODUCT:DJP1071,Product,Adilipo (60 Tab),DJP1071
PRODUCT:DJP1072,Product,Adiliv (60 Tab),DJP1072
PRODUCT:DJP1073,Product,Aloevera with Guava Juice (1L),DJP1073
PRODUCT:DJP1074,Product,Astheal Cough Syrup (100ml),DJP1074
PRODUCT:DJP1075,Product,Ashvagandha Extract (60 Veg Capsules),DJP1075
PRODUCT:DJP1076,Product,Amla Extract (60 Veg Capsules),DJP1076
PRODUCT:DJP1077,Product,Advanced Calcium Tablets,DJP1077
PRODUCT:DJP1078,Product,Arogya Churn (100g),DJP1078
PRODUCT:DJP1079,Product,Di-beat (60 Tab),DJP1079
PRODUCT:DJP1080,Product,Golden Elixir - Nano Curcumin Drops (Pack of 2 Bottles - each 25ml),DJP1080
PRODUCT:DJP1081,Product,Gas-O-Free (200ml),DJP1081
PRODUCT:DJP1082,Product,Gas-O-Free (500ml),DJP1082
PRODUCT:DJP1083,Product,GoPiles (60 Tab),DJP1083
PRODUCT:DJP1084,Product,GoPiles Syrup (500ml),DJP1084
PRODUCT:DJP1085,Product,Giloe Extract (60 Veg Capsules),DJP1085
PRODUCT:DJP1086,Product,Eye Elixir Drops (10ml),DJP1086
PRODUCT:DJP1087,Product,Eye Health++ (60 Capsules),DJP1087
PRODUCT:DJP1088,Product,HB+ (200ml),DJP1088
PRODUCT:DJP1089,Product,HB+ (500ml),DJP1089
PRODUCT:DJP1090,Product,Hi-Energy (60 Tab),DJP1090
PRODUCT:DJP1091,Product,Kidney Kawach (300 g),DJP1091
PRODUCT:DJP1092,Product,Liv-Ease (200ml),DJP1092
PRODUCT:DJP1093,Product,Liv-Ease (500ml),DJP1093
PRODUCT:DJP1094,Product,Multivitamins Tablets,DJP1094
PRODUCT:DJP1095,Product,Nonima (500ml),DJP1095
PRODUCT:DJP1096,Product,N-astheal (120 Tab),DJP1096
PRODUCT:DJP1097,Product,N-astheal (60 Tab),DJP1097
PRODUCT:DJP1098,Product,Orthofix (60 Tab),DJP1098
PRODUCT:DJP1099,Product,Orthofix Oil (100ml),DJP1099
PRODUCT:DJP1100,Product,Omega 3-6-9,DJP1100
PRODUCT:DJP1101,Product,Quick 6 Pain Relief Gel (30g),DJP1101
PRODUCT:DJP1102,Product,Super Rich Berry Juice (1 Ltr.),DJP1102
PRODUCT:DJP1103,Product,Seabuckthron Juice (1 Ltr.),DJP1103
PRODUCT:DJP1104,Product,Shatavari Extract (60 Veg Capsules),DJP1104
PRODUCT:DJP1105,Product,Super Food Capsule,DJP1105
PRODUCT:DJP1106,Product,Premium Tulsi Max (30ml),DJP1106
PRODUCT:DJP1107,Product,Vital Protein Powder (300gm),DJP1107
PRODUCT:DJP1108,Product,L-Arginine++ - Energy Drink (100g),DJP1108
PRODUCT:DJP1109,Product,Ample Meal - Meal Replacement Nutritional Shake (500g),DJP1109
PRODUCT:DJP1110,Product,JuniorJoy - Kids Nutritional Drink (300g),DJP1110
PRODUCT:DJP1111,Product,Kahwa Masala Chai (25 Pcs),DJP1111
PRODUCT:DJP1112,Product,Shilajit Gummies (60 Gummies),DJP1112
PRODUCT:DJP1113,Product,Apple Cider Vinegar (3X20 Tablets),DJP1113
PRODUCT:DJP1114,Product,Marine Collagen (200g),DJP1114
PRODUCT:DJP1115,Product,Dishwash Liquid Gel (500ml),DJP1115
PRODUCT:DJP1116,Product,Toilet Bowl Cleaner (500ml),DJP1116
PRODUCT:DJP1117,Product,Liquid Detergent (1Ltr.),DJP1117
PRODUCT:DJP1118,Product,All in 1 Surface Cleaner (500ml),DJP1118
PRODUCT:DJP1119,Product,Premium Suit Length (Black),DJP1119
PRODUCT:DJP1120,Product,Designer Mask (Pack of 5),DJP1120
PRODUCT:DJP1121,Product,Dayjoy Necktie,DJP1121
PRODUCT:DJP1122,Product,"T-shirt New Design (L, M, XL)",DJP1122
PRODUCT:DJP1123,Product,Happy Soil - Humic (500ml),DJP1123
PRODUCT:DJP1124,Product,Nano Tech-19 (500ml),DJP1124
PRODUCT:DJP1125,Product,Nano Tech-46 (500ml),DJP1125
PRODUCT:DJP1126,Product,Nano Tech-50 (500ml),DJP1126
PRODUCT:DJP1127,Product,Nano Tech-52 (500ml),DJP1127
PRODUCT:DJP1128,Product,Prosperous+ (1 L),DJP1128
PRODUCT:DJP1129,Product,Prosperous+ Tablets,DJP1129
PRODUCT:DJP1130,Product,Joy-O-Zyme (500ml),DJP1130
PRODUCT:DJP1131,Product,JoySpread 80+ Gold (250ml),DJP1131
PRODUCT:DJP1132,Product,JoySpread 80+ Gold (100ml),DJP1132
PRODUCT:DJP1133,Product,JoyGrow 2X (Granules) (2kg),DJP1133
PRODUCT:DJP1134,Product,JoyProtect (500ml),DJP1134
PRODUCT:DJP1135,Product,JoyCalcium (2 Litre),DJP1135
PRODUCT:DJP1136,Product,Bio-Germanium & Magnetic Mattress,DJP1136
