source_id,filename,source_type,source_url,date_obtained,document_date,version,authority,status,checksum,supersedes,notes
F00004,Dayjoy Product Brochure - English July2026_11zon.pdf,brochure,,,2026-07,,2,active,411774620f65d70e5951cca93dd992f27c644485a99eebafd3f44a791cf21cfe,,Primary English-language product brochure used as an approved (tier-2) source for product overview and pack-size summary content.
F00005,DayjoyProduct_RecommandationChart - Copy.pdf,brochure,,,,,2,active,1315d8b9e55f32c1320da044f39505593b7d2b419b7bc85db8582c53a6d68a5b,,Product recommendation chart used as approved (tier-2) brochure-type reference material; no date evidenced in filename or elsewhere in repo.
F00026,Dayjoy_Online_Shopping.pdf,brochure,,,,,2,active,91f41e5901cdc952e8c4cd71698e8eca04182afffc623d311fbe021f3dacd442,,Online shopping/product brochure used as approved (tier-2) source material; no date evidenced in filename or elsewhere in repo.
F00001,Dayjoy AI Ecosystem Enterprise Knowledge Repository & Systems Architecture.docx,company_doc,,,,,4,active,81ed77af861c45a6fd86530815f0ff9cfcdea48239321889abe9af67a2cff527,,"Internal document describing the knowledge repository and systems architecture behind this KB; treated as tier-4 (internal structured/reference document) since it does not fit the SOP's price-list, brochure, or FAQ tiers."
F00002,Dayjoy AI Ecosystem Master Knowledge Base Generation.docx,company_doc,,,,,4,active,84b031fce8c5958520deb03cfeb5d0eedd538f4ae82951421ce5a690ee0a61e2,,Internal document describing how the master knowledge base was generated; treated as tier-4 (internal structured/reference document) for the same reason as F00001.
F00003,Dayjoy GrowthX Plan Presentation_choladeck.pdf,compensation_deck,,,,,1,active,605ecbe19593400c8c7708b7be6ffbd570e9f156cd53e53de1a3f9fa22c41dae,,"Official GrowthX compensation-plan presentation; source for 01_CANONICAL/compensation/ files (joining rules, ranks, and BV structure); classified tier-1 per the SOP's tier-1 typical-use example of ""joining rules."""
F00020,DayjoyMarketingFssaiLicense.pdf,policy,,,,,1,active,7ad37b94184907f5a107ce3c75e50754b90fc329d7aa76a184a980c7bd3c03bb,,FSSAI compliance/license document; tier-1 official compliance document per the SOP hierarchy.
F00030,Income_Disclaimer_Dayjoy.pdf,policy,,,,,1,active,d8d56172b040fedd96a14bc89e13e0a52583989560a2fa3ec75568fba5d54fe3,,Official income disclaimer policy; also present as a byte-identical copy in 01_CANONICAL/policies/; tier-1 official policy document.
F00032,PaymentGatewayPolicy_Dayjoy.pdf,policy,,,,,1,active,b66514643d0b509834876cfd79091d8ebd4beaf46e49bc2183305a398349e3bf,,Official payment gateway policy; also present as a byte-identical copy in 01_CANONICAL/policies/; tier-1 official policy document.
F00038,Social_Media_Policy_Dayjoy.pdf,policy,,,,,1,active,207d729d08c059d35be8524bd7e80d99c4365f18d2424aa3342a9e1e79d36d4c,,Official social media policy; also present as a byte-identical copy in 01_CANONICAL/policies/; tier-1 official policy document.
F00031,India BV Price May 2026.pdf,price_list,,,2026-05,,1,active,84ecd2c43dcea939bb4923b04894d6096bd2202e98288984bc3ec654cc04e117,,Primary pricing source for all 170 canonical products; OCR/table-extracted into 01_CANONICAL/pricing/dayjoy_price_list_may2026.csv (and its .json/.sql exports); also present as a byte-identical copy in 01_CANONICAL/pricing/; tier-1 official price list.
