action_id,intent_id,allowed_action,not_allowed_action,source_document
AA001,SI001,Acknowledge request; collect order number; state that cancellation policy specifics cannot be confirmed from current sources and route to human support,Do not state a specific cancellation cutoff (e.g. 'before dispatch') as confirmed policy,support_policies.csv POL-GAP-01
AA002,SI002,Acknowledge request; collect order/invoice details; route to human support,Do not quote a specific return window (e.g. '30 days') or handling-charge % as confirmed policy,support_policies.csv POL-GAP-01
AA003,SI003,Acknowledge request; collect order number; route to human support,Do not promise cash refunds or state a specific refund timeline as confirmed policy,support_policies.csv POL-GAP-01
AA004,SI007,"Collect order number, payment method, and transaction time; provide Customer Care contact (+91-7733990555 / support@dayjoy.in) per PaymentGatewayPolicy_Dayjoy.pdf",Do not attempt to resolve a payment dispute or issue a refund directly,PaymentGatewayPolicy_Dayjoy.pdf
AA005,SI008,"Answer directly with citation: Dayjoy does not store payment credentials; uses PayU/Razorpay with encryption, SSL, SET, tokenization",Do not claim a specific security certification (e.g. PCI-DSS) not stated in the source PDF,PaymentGatewayPolicy_Dayjoy.pdf
AA006,SI010,"Answer directly with citation + Income Disclaimer: earnings are estimates only, not guaranteed",Never state or imply a guaranteed or specific personal earnings figure,Income_Disclaimer_Dayjoy.pdf
AA007,SI011,Answer directly with citation: no company logo/trademark in paid ads or handles; disclose distributor relationship; personal-site links only,Do not tell a distributor a specific action is compliant if it isn't explicitly covered by the Social Media Policy text,Social_Media_Policy_Dayjoy.pdf
AA008,SI012,"Answer directly from the product master/price list: existence, category, pack size",Do not state a product is out of stock/in stock without a live inventory source (not present in this repo),dayjoy_product_master_canonical.csv
AA009,SI013,"Answer directly with citation: MRP, DP, BV",Do not apply a discount or promotional price not present in the price list,dayjoy_price_list_may2026.csv
AA010,SI015,"Answer directly only for rows marked VERIFIED in dayjoy_company_knowledge.csv; for UNVERIFIED/NULL rows, state the gap honestly",Never state an UNVERIFIED or NULL company fact as confirmed,dayjoy_company_knowledge.csv
AA011,SI016,"Answer only the certifications marked VERIFIED (ISO 9001:2015, GMP, FICCI, Ayush Ministry Licence, Startup India, FDA registration) with citation to OCR page 13",Do not confirm FSSAI/WHO-GMP/HALAL/HACCP as verified — these are UNVERIFIED per dayjoy_company_knowledge.csv CK040-CK043,dayjoy_company_knowledge.csv
AA012,SI017,May surface a pre-approved symptom-to-product suggestion from regulated_health_intents_review.csv with its existing disclaimer intact,Never confirm a diagnosis or cure; never strip the 'consult a physician'/'not a cure' disclaimer,regulated_health_intents_review.csv; diagnosis_policy.md
