chunk_id,parent_doc_id,chunk_index,question,answer,intent_category,subcategory,product_name,product_code,sku,confidence,source_reference,notes,source_document,source_section,page_number,document_type,tags,keywords,categories
dayjoy_master_intent_dataset_1,dayjoy_master_intent_dataset,1,What is Multivitamins Tablets?,Multivitamins Tablets is a HEALTH CARE product by Dayjoy.,informational,product_info,Multivitamins Tablets,DJP1094,DJ-HEA-0095,high,Products Master,,Dayjoy_Master_Intent_Dataset.csv,informational,,intent_dataset,informational;product_info,what is multivitamins tablets,informational
dayjoy_master_intent_dataset_2,dayjoy_master_intent_dataset,2,What is Perfect-Ion Testing Solutions?,Perfect-Ion Testing Solutions is a AQUA ESSENTIALS product by Dayjoy.,informational,product_info,Perfect-Ion Testing Solutions,DJP1141,DJ-AQU-0142,high,Products Master,,Dayjoy_Master_Intent_Dataset.csv,informational,,intent_dataset,informational;product_info,what is perfect ion testing solutions,informational
dayjoy_master_intent_dataset_3,dayjoy_master_intent_dataset,3,"I have Irregular Heartbeats, what should I take?","Dayjoy suggests MULTI VITAMINS TABLETS for Irregular Heartbeats. This is a supplement, not a cure.",health-condition,consultation,,,,medium,Recommendation Chart,Medical disclaimer included,Dayjoy_Master_Intent_Dataset.csv,health-condition,,intent_dataset,health-condition;consultation,i have irregular heartbeats what should i take,health-condition
dayjoy_master_intent_dataset_4,dayjoy_master_intent_dataset,4,Which product is good for Mental Disorder?,"Based on Dayjoy recommendations, you may consider MULTI VITAMINS TABLETS. Consult a physician for medical advice.",recommendation,health_need,,,,high,Recommendation Chart,,Dayjoy_Master_Intent_Dataset.csv,recommendation,,intent_dataset,recommendation;health_need,which product is good for mental disorder,recommendation
dayjoy_master_intent_dataset_5,dayjoy_master_intent_dataset,5,DP of DJP1158,The Distributor Price (DP) is ₹75.0.,pricing,dp,Hindi One-Page Compensation Plan (Set of 25 Leaflets),DJP1158,DJ-PRO-0159,high,Price List,,Dayjoy_Master_Intent_Dataset.csv,pricing,,intent_dataset,pricing;dp,dp of djp1158,pricing
dayjoy_master_intent_dataset_6,dayjoy_master_intent_dataset,6,Is Kasuri Methi (50g) a food product?,It is categorized under FOOD PRODUCTS.,informational,product_category,Kasuri Methi (50g),DJP1015,DJ-FOO-0016,high,Products Master,,Dayjoy_Master_Intent_Dataset.csv,informational,,intent_dataset,informational;product_category,is kasuri methi 50g a food product,informational
dayjoy_master_intent_dataset_7,dayjoy_master_intent_dataset,7,What awards has Dayjoy won?,"Dayjoy won Startup of the Year (2020), 4th Annual Direct Selling Today Award (2021), and Entrepreneurship Excellence Award (2023).",company,info,,,,high,Dayjoy Brochure,,Dayjoy_Master_Intent_Dataset.csv,company,,intent_dataset,company;info,what awards has dayjoy won,company
dayjoy_master_intent_dataset_8,dayjoy_master_intent_dataset,8,Which product is good for Difficulty in Planning and Carrying out tasks?,"Based on Dayjoy recommendations, you may consider GOLDEN ELIXIR OR SEA BUCKTHORN JUICE. Consult a physician for medical advice.",recommendation,health_need,,,,high,Recommendation Chart,,Dayjoy_Master_Intent_Dataset.csv,recommendation,,intent_dataset,recommendation;health_need,which product is good for difficulty in planning,recommendation
dayjoy_master_intent_dataset_9,dayjoy_master_intent_dataset,9,How much is in one pack of Haldi Powder (500g)?,The pack size is 500g.,informational,pack_size,Haldi Powder (500g),DJP1011,DJ-FOO-0012,high,Products Master,,Dayjoy_Master_Intent_Dataset.csv,informational,,intent_dataset,informational;pack_size,how much is in one pack of haldi,informational
dayjoy_master_intent_dataset_10,dayjoy_master_intent_dataset,10,"I have Slimy mucus in your underwear or on Toilet Paper After Wiping your bottom, what should I take?","Dayjoy suggests GO PILES TABLETS for Slimy mucus in your underwear or on Toilet Paper After Wiping your bottom. This is a supplement, not a cure.",health-condition,consultation,,,,medium,Recommendation Chart,Medical disclaimer included,Dayjoy_Master_Intent_Dataset.csv,health-condition,,intent_dataset,health-condition;consultation,i have slimy mucus in your underwear or,health-condition
dayjoy_master_intent_dataset_11,dayjoy_master_intent_dataset,11,Which product is good for Itchy Skin?,"Based on Dayjoy recommendations, you may consider ADILIV TABLETS. Consult a physician for medical advice.",recommendation,health_need,,,,high,Recommendation Chart,,Dayjoy_Master_Intent_Dataset.csv,recommendation,,intent_dataset,recommendation;health_need,which product is good for itchy skin,recommendation
dayjoy_master_intent_dataset_12,dayjoy_master_intent_dataset,12,How do I get a refund?,Refunds for returned products are processed to the original bank account or payment method after inspection.,policy,shipping_refund,,,,high,Shipping/Refund Policy,,Dayjoy_Master_Intent_Dataset.csv,policy,,intent_dataset,policy;shipping_refund,how do i get a refund,policy
dayjoy_master_intent_dataset_13,dayjoy_master_intent_dataset,13,Which product is good for Increased errors or accidents?,"Based on Dayjoy recommendations, you may consider GOLDEN ELIXIR OR SEA BUCKTHORN JUICE OR SUPER RICH BERRY JUICE OR SUPER FOOD CAPSULE. Consult a physician for medical advice.",recommendation,health_need,,,,high,Recommendation Chart,,Dayjoy_Master_Intent_Dataset.csv,recommendation,,intent_dataset,recommendation;health_need,which product is good for increased errors or,recommendation
dayjoy_master_intent_dataset_14,dayjoy_master_intent_dataset,14,Which product is good for Yellow Skin and Eyes?,"Based on Dayjoy recommendations, you may consider ADILIV TABLETS. Consult a physician for medical advice.",recommendation,health_need,,,,high,Recommendation Chart,,Dayjoy_Master_Intent_Dataset.csv,recommendation,,intent_dataset,recommendation;health_need,which product is good for yellow skin and,recommendation
dayjoy_master_intent_dataset_15,dayjoy_master_intent_dataset,15,What is Garam Masala (100g)?,Garam Masala (100g) is a FOOD PRODUCTS product by Dayjoy.,informational,product_info,Garam Masala (100g),DJP1008,DJ-FOO-0009,high,Products Master,,Dayjoy_Master_Intent_Dataset.csv,informational,,intent_dataset,informational;product_info,what is garam masala 100g,informational
dayjoy_master_intent_dataset_16,dayjoy_master_intent_dataset,16,Which product is good for Pain?,"Based on Dayjoy recommendations, you may consider ASTHPRASH OR N-ASTHEAL TABLET. Consult a physician for medical advice.",recommendation,health_need,,,,high,Recommendation Chart,,Dayjoy_Master_Intent_Dataset.csv,recommendation,,intent_dataset,recommendation;health_need,which product is good for pain,recommendation
