sku,product_name,category,brand,image_path,original_filename,match_confidence,caption,alt_text,seo_title,slug
DJ-AGR-0124,Happy Soil - Humic (500ml),AGRICULTURE & VETERINARY,HappyGrow,06_IMAGES/products/DJ-AGR-0124_1.webp,Happy_Soil_Humic_500ml.webp,auto_1.3,,,,
DJ-AGR-0136,JoyCalcium (2 Litre),AGRICULTURE & VETERINARY,HappyGrow,06_IMAGES/products/DJ-AGR-0136_1.jpeg,Joycalcium.jpeg,auto_1.1,,,,
DJ-AGR-0134,JoyGrow 2X (Granules) (2kg),AGRICULTURE & VETERINARY,HappyGrow,06_IMAGES/products/DJ-AGR-0134_1.jpeg,Joygrow 2x.jpeg,auto_1.1,,,,
DJ-AGR-0133,JoySpread 80+ Gold (100ml),AGRICULTURE & VETERINARY,HappyGrow,06_IMAGES/products/DJ-AGR-0133_1.webp,Joyspread_80l.webp,auto_0.792,,,,
DJ-AGR-0131,Joy-O-Zyme (500ml),AGRICULTURE & VETERINARY,HappyGrow,06_IMAGES/products/DJ-AGR-0131_1.jpg,Joy_o_zyme_1.jpg,auto_1.209,,,,
DJ-AGR-0125,Nano Tech-19 (500ml),AGRICULTURE & VETERINARY,HappyGrow,06_IMAGES/products/DJ-AGR-0125_1.webp,NanoTech19_500ml.webp,auto_0.909,,,,
DJ-AGR-0126,Nano Tech-46 (500ml),AGRICULTURE & VETERINARY,HappyGrow,06_IMAGES/products/DJ-AGR-0126_1.webp,NanoTech46_500ml.webp,auto_0.909,,,,
DJ-AGR-0129,Prosperous+ (1 L),AGRICULTURE & VETERINARY,HappyGrow,06_IMAGES/products/DJ-AGR-0129_2.webp,Prosperous1ltr.webp,manual_review,,,,
DJ-AQU-0140,Aqua Energiser (Single),AQUA ESSENTIALS,Dayjoy,06_IMAGES/products/DJ-AQU-0140_1.png,AquaEnergiser Mockup (1).png,auto_0.765,,,,
DJ-AQU-0141,New Perfect-Ion,AQUA ESSENTIALS,Dayjoy,06_IMAGES/products/DJ-AQU-0141_1.jpeg,Perfect-ion (2).jpeg,auto_1.046,,,,
DJ-CLO-0122,Dayjoy Necktie,CLOTHING,Domatti,06_IMAGES/products/DJ-CLO-0122_1.webp,DayjoyNecktie.webp,auto_0.963,Dayjoy Necktie for necktie.,Dayjoy Necktie product image.,Dayjoy Necktie | Dayjoy,dayjoy-necktie
DJ-CLO-0121,Designer Mask (Pack of 5),CLOTHING,Domatti,06_IMAGES/products/DJ-CLO-0121.webp,Mask.webp,manual_review,,,,
DJ-CLO-0120,Premium Suit Length (Black),CLOTHING,Domatti,06_IMAGES/products/DJ-CLO-0120_1.webp,Premiumsuitlengthblack.webp,auto_0.829,,,,
DJ-COL-0065,Amara Beauty Eyeliner,COLOR COSMETICS,Amara Beauty,06_IMAGES/products/DJ-COL-0065_1.jpeg,AmaraBeauty_Eyeliner.jpeg,auto_1.076,Amara Beauty Eyeliner for eyeliner.,Amara Beauty Eyeliner product image.,Amara Beauty Eyeliner | Dayjoy,amara-beauty-eyeliner
DJ-COL-0064,Amara Beauty Kajal,COLOR COSMETICS,Amara Beauty,06_IMAGES/products/DJ-COL-0064.jpeg,KAJAL.jpeg,manual_review,Amara Beauty Kajal for kajal.,Amara Beauty Kajal product image.,Amara Beauty Kajal | Dayjoy,amara-beauty-kajal
DJ-COM-0169,AGRI STARTER PACKAGE,COMBO PACKAGES,Dayjoy,06_IMAGES/products/DJ-COM-0169_1.jpeg,Master package.jpeg,auto_0.865,,,,
DJ-COM-0165,STANDARD PACKAGE,COMBO PACKAGES,Dayjoy,06_IMAGES/products/DJ-COM-0165_1.jpeg,Raftar package.jpeg,auto_0.833,,,,
DJ-HEA-0067,Adicardial (120 Tab),HEALTH CARE,Curind,06_IMAGES/products/DJ-HEA-0067_1.webp,AdicardialTablets120.webp,manual_review,,,,
DJ-HEA-0070,Adila Forte (60 Tab),HEALTH CARE,Curind,06_IMAGES/products/DJ-HEA-0070_1.webp,Adilaforte_60Tab.webp,auto_0.741,,,,
DJ-HEA-0072,Adilipo (60 Tab),HEALTH CARE,Curind,06_IMAGES/products/DJ-HEA-0072_1.webp,Adilipo_120Tab.webp,auto_0.767,,,,
DJ-HEA-0073,Adiliv (60 Tab),HEALTH CARE,Curind,06_IMAGES/products/DJ-HEA-0073_1.webp,Adiliv_60Tab.webp,auto_0.767,,,,
DJ-HEA-0074,Aloevera with Guava Juice (1L),HEALTH CARE,Curind,06_IMAGES/products/DJ-HEA-0074.webp,AloeVeraJuice1L.webp,manual_review,,,,
DJ-HEA-0077,Amla Extract (60 Veg Capsules),HEALTH CARE,Curind,06_IMAGES/products/DJ-HEA-0077_1.webp,Amla_Extract.webp,auto_1.2,,,,
DJ-HEA-0110,Ample Meal - Meal Replacement Nutritional Shake (500g),HEALTH CARE,Curind,06_IMAGES/products/DJ-HEA-0110.jpeg,Ample meal.jpeg,manual_review,,,,
DJ-HEA-0114,Apple Cider Vinegar (3X20 Tablets),HEALTH CARE,Curind,06_IMAGES/products/DJ-HEA-0114_1.jpeg,Apple Cider.jpeg,auto_0.933,,,,
DJ-HEA-0109,L-Arginine++ - Energy Drink (100g),HEALTH CARE,Curind,06_IMAGES/products/DJ-HEA-0109.webp,ARGININE100g.webp,manual_review,,,,
DJ-HEA-0079,Arogya Churn (100g),HEALTH CARE,Curind,06_IMAGES/products/DJ-HEA-0079_1.webp,ArogyaChurn100g.webp,auto_0.957,,,,
DJ-HEA-0076,Ashvagandha Extract (60 Veg Capsules),HEALTH CARE,Curind,06_IMAGES/products/DJ-HEA-0076_1.webp,Ashvagandha_Extract.webp,auto_1.2,,,,
DJ-HEA-0075,Astheal Cough Syrup (100ml),HEALTH CARE,Curind,06_IMAGES/products/DJ-HEA-0075_1.webp,Astheal_CoughSyrup.webp,auto_0.939,,,,
DJ-HEA-0066,Asthprash (300 grams),HEALTH CARE,Asthprash,06_IMAGES/products/DJ-HEA-0066_1.webp,Asthprash_min.webp,auto_1.1,,,,
DJ-HEA-0078,Advanced Calcium Tablets,HEALTH CARE,Curind,06_IMAGES/products/DJ-HEA-0078.webp,CalciumTablets.webp,manual_review,,,,
DJ-HEA-0080,Di-beat (60 Tab),HEALTH CARE,Curind,06_IMAGES/products/DJ-HEA-0080.webp,Dibeat60tab.webp,manual_review,,,,
DJ-HEA-0088,Eye Health++ (60 Capsules),HEALTH CARE,Curind,06_IMAGES/products/DJ-HEA-0088.jpeg,Eye cap.01.jpeg,manual_review,,,,
DJ-HEA-0087,Eye Elixir Drops (10ml),HEALTH CARE,Curind,06_IMAGES/products/DJ-HEA-0087_1.jpeg,Eye drops 01.jpeg,auto_0.843,,,,
DJ-HEA-0083,Gas-O-Free (500ml),HEALTH CARE,Curind,06_IMAGES/products/DJ-HEA-0083_2.webp,GasOFree500ml.webp,auto_0.889,,,,
DJ-HEA-0083,Gas-O-Free (500ml),HEALTH CARE,Curind,06_IMAGES/products/DJ-HEA-0083_3.webp,GasOFree_200ml.webp,auto_0.889,,,,
