Brand,Category,Description,Key Products
Asthprash,Health Care,"Herbal formulation for lung/respiratory health; protects against pollution. Price: Rs 2,999 (300g)",Asthprash 300g
Curind,Health Care,"Herbal wellness products for respiratory, renal, liver care","Curind Astheal Cough Syrup, Curind Renal Shield, Curind Arsha Relief Juice, Curind Liv-Ease Juice, Curind HB+ Juice"
Wild Muse (Wildmuse),Personal Care,Premium personal care products with natural ingredients,"Deep Cleansing Face Wash, Daily Care Cream SPF 30, Milk & Keratin Shampoo"
Yumdum,Food Products,Food and snack products,
Aayushmaan,Wellness,Wellness and health products,
Homeshine,Home Care,Home cleaning and care products,
Domatti,Food Products,Food products line,
HappyGrow,Agriculture,Agricultural growth products,
Seabuckthron,Skin/Personal Care,Seabuckthorn-based facial and skin care range,"Facial Kit, Cleanser, Scrub, Massage Gel, Massage Cream, Face Pack, Facial Fluid, Juice"
Amara Beauty,Color Cosmetics,Color cosmetics line,"Kajal, Eyeliner"
JoySpread / JoyGrow / JoyProtect / JoyCalcium / Joy-O-Zyme,Agriculture & Veterinary,Agri-input product range under the Joy series,"JoySpread 80 Gold, JoyGrow 2X Granules, JoyProtect, JoyCalcium, Joy-O-Zyme"
Perfect-Ion,Aqua Essentials,Water ionizer / mineraliser product line,"New Perfect-Ion device, Testing Solutions, N-SF Mineralisers"
Aqua Energiser,Aqua Essentials,Water energizing device,"Aqua Energiser Single, Pack of 3"
Bio-Germanium,Germanium Magnetic,Magnetic therapy wellness product,"Bio-Germanium Magnetic Mattress (Single, Pack of 2)"
