relationship_id,product_a_id,product_b_id,relationship_type,co_occurrence_count,source
1,81,106,recommended_combination,118.0,recommendation_chart
2,106,81,recommended_combination,118.0,recommendation_chart
3,103,81,recommended_combination,114.0,recommendation_chart
4,81,103,recommended_combination,114.0,recommendation_chart
5,106,103,recommended_combination,94.0,recommendation_chart
6,103,106,recommended_combination,94.0,recommendation_chart
7,106,107,recommended_combination,36.0,recommendation_chart
8,107,106,recommended_combination,36.0,recommendation_chart
9,107,81,recommended_combination,36.0,recommendation_chart
10,81,107,recommended_combination,36.0,recommendation_chart
11,101,106,recommended_combination,33.0,recommendation_chart
12,106,101,recommended_combination,33.0,recommendation_chart
13,101,81,recommended_combination,33.0,recommendation_chart
14,81,101,recommended_combination,33.0,recommendation_chart
15,96,81,recommended_combination,32.0,recommendation_chart
16,81,96,recommended_combination,32.0,recommendation_chart
17,96,93,recommended_combination,32.0,recommendation_chart
18,93,96,recommended_combination,32.0,recommendation_chart
19,103,82,recommended_combination,30.0,recommendation_chart
20,82,103,recommended_combination,30.0,recommendation_chart
21,103,107,recommended_combination,30.0,recommendation_chart
22,107,103,recommended_combination,30.0,recommendation_chart
23,106,96,recommended_combination,29.0,recommendation_chart
24,96,106,recommended_combination,29.0,recommendation_chart
25,103,96,recommended_combination,26.0,recommendation_chart
26,96,103,recommended_combination,26.0,recommendation_chart
27,71,106,recommended_combination,24.0,recommendation_chart
28,101,71,recommended_combination,24.0,recommendation_chart
29,106,71,recommended_combination,24.0,recommendation_chart
30,93,81,recommended_combination,24.0,recommendation_chart
31,71,81,recommended_combination,24.0,recommendation_chart
32,81,93,recommended_combination,24.0,recommendation_chart
33,81,71,recommended_combination,24.0,recommendation_chart
34,71,101,recommended_combination,24.0,recommendation_chart
35,101,103,recommended_combination,23.0,recommendation_chart
36,103,101,recommended_combination,23.0,recommendation_chart
37,93,82,recommended_combination,22.0,recommendation_chart
38,103,93,recommended_combination,22.0,recommendation_chart
39,103,73,recommended_combination,22.0,recommendation_chart
40,73,103,recommended_combination,22.0,recommendation_chart
41,73,93,recommended_combination,22.0,recommendation_chart
42,82,73,recommended_combination,22.0,recommendation_chart
43,73,82,recommended_combination,22.0,recommendation_chart
44,93,73,recommended_combination,22.0,recommendation_chart
45,93,103,recommended_combination,22.0,recommendation_chart
46,82,93,recommended_combination,22.0,recommendation_chart
47,67,81,recommended_combination,20.0,recommendation_chart
48,67,103,recommended_combination,20.0,recommendation_chart
49,103,67,recommended_combination,20.0,recommendation_chart
50,81,67,recommended_combination,20.0,recommendation_chart
51,71,103,recommended_combination,19.0,recommendation_chart
52,103,71,recommended_combination,19.0,recommendation_chart
53,82,81,recommended_combination,18.0,recommendation_chart
54,73,96,recommended_combination,18.0,recommendation_chart
55,96,82,recommended_combination,18.0,recommendation_chart
56,96,73,recommended_combination,18.0,recommendation_chart
57,82,96,recommended_combination,18.0,recommendation_chart
58,81,82,recommended_combination,18.0,recommendation_chart
59,91,106,recommended_combination,16.0,recommendation_chart
60,91,103,recommended_combination,16.0,recommendation_chart
61,91,81,recommended_combination,16.0,recommendation_chart
62,81,91,recommended_combination,16.0,recommendation_chart
63,106,91,recommended_combination,16.0,recommendation_chart
64,103,91,recommended_combination,16.0,recommendation_chart
65,66,107,recommended_combination,15.0,recommendation_chart
66,66,81,recommended_combination,15.0,recommendation_chart
67,66,106,recommended_combination,15.0,recommendation_chart
68,66,103,recommended_combination,15.0,recommendation_chart
69,66,97,recommended_combination,15.0,recommendation_chart
70,97,107,recommended_combination,15.0,recommendation_chart
71,103,66,recommended_combination,15.0,recommendation_chart
72,103,97,recommended_combination,15.0,recommendation_chart
73,97,66,recommended_combination,15.0,recommendation_chart
74,97,81,recommended_combination,15.0,recommendation_chart
75,97,103,recommended_combination,15.0,recommendation_chart
76,97,106,recommended_combination,15.0,recommendation_chart
77,106,66,recommended_combination,15.0,recommendation_chart
78,106,97,recommended_combination,15.0,recommendation_chart
79,107,66,recommended_combination,15.0,recommendation_chart
80,107,97,recommended_combination,15.0,recommendation_chart
81,81,66,recommended_combination,15.0,recommendation_chart
82,81,97,recommended_combination,15.0,recommendation_chart
