file,size,file_type,sha256,original_provenance,reason,replacement_file,physically_archived,archive_location,date_archived
02_Business_Model (2).md,206,md,743473e7993e5a522cd9d621935706ac53b779c7a74683397105ec99c7891407,ORIGINAL:artifacts-1of3.zip > artifacts-1of3.zip > artifacts.zip,superseded_or_not_selected_as_canonical,,True,99_ARCHIVE/superseded/02_Business_Model (2).md,2026-08-09
02_KNOWN_FACTS.md,24947,md,328eaff37af5981e47cbec2007a546911a3de8756740e6e63319c9f0a174e600,ORIGINAL:artifacts-1of3.zip > artifacts-1of3.zip > artifacts.zip,superseded_or_not_selected_as_canonical,,True,99_ARCHIVE/superseded/02_KNOWN_FACTS.md,2026-08-09
03_Product_Research (2).md,15323,md,f2765f3e8385c8bd217ed3d5ee07400170960bdf4b62439742a0a69e362f12b9,ORIGINAL:artifacts-1of3.zip > artifacts-1of3.zip > artifacts.zip,superseded_or_not_selected_as_canonical,,True,99_ARCHIVE/superseded/03_Product_Research (2).md,2026-08-09
03_Product_Research (3).md,196,md,c0712bc49ce4e0915c3478d0135d84909d5e8c92778aa6041df65e12dec5256d,ORIGINAL:artifacts-1of3.zip > artifacts-1of3.zip > artifacts.zip,superseded_or_not_selected_as_canonical,,True,99_ARCHIVE/superseded/03_Product_Research (3).md,2026-08-09
03_Product_Research.md,367,md,db15fc6127da2590a6f2c8e6eb4ef49b855d73c7a4278377f92edb6db80d06a9,ORIGINAL:artifacts-1of3.zip > artifacts-1of3.zip > artifacts.zip,superseded_or_not_selected_as_canonical,,True,99_ARCHIVE/superseded/03_Product_Research.md,2026-08-09
03_UNKNOWN_INFORMATION.md,26183,md,c02e77b0ecd2f4b0480db626299e646b235e86df33b55a3cacbe71fec995a60e,ORIGINAL:artifacts-1of3.zip > artifacts-1of3.zip > artifacts.zip,superseded_or_not_selected_as_canonical,,True,99_ARCHIVE/superseded/03_UNKNOWN_INFORMATION.md,2026-08-09
04_Distributor_System (2).md,83,md,11d76410d3179c3119713ba1b2d9d82450ed41142a74d1cf5ee8a0404a6b5520,ORIGINAL:artifacts-1of3.zip > artifacts-1of3.zip > artifacts.zip,superseded_or_not_selected_as_canonical,,True,99_ARCHIVE/superseded/04_Distributor_System (2).md,2026-08-09
05_Policies (2).md,73,md,94875cff81c4619f225bbb7c67ad22b2bb0f4419fcf6032c5c06560f448f3d5b,ORIGINAL:artifacts-1of3.zip > artifacts-1of3.zip > artifacts.zip,superseded_or_not_selected_as_canonical,,True,99_ARCHIVE/superseded/05_Policies (2).md,2026-08-09
05_Policies.md,73228,md,96001eccadaebe475531deb5b20fc884053907183e38e5550028fd3fb96b867d,ORIGINAL:artifacts-1of3.zip > artifacts-1of3.zip > artifacts.zip,superseded_or_not_selected_as_canonical,,True,99_ARCHIVE/superseded/05_Policies.md,2026-08-09
05_RESEARCH_LOG.md,14231,md,c34a0d604ceed450fd413b2e865db4914b7ee145260cf39046779047442e886e,ORIGINAL:artifacts-1of3.zip > artifacts-1of3.zip > artifacts.zip,superseded_or_not_selected_as_canonical,,True,99_ARCHIVE/superseded/05_RESEARCH_LOG.md,2026-08-09
06_FAQs (2).md,69,md,7ed441121486a962967e96a7e2ff6eb1e1f4c2048d2c31a1ebe98a5b47994a3c,ORIGINAL:artifacts-1of3.zip > artifacts-1of3.zip > artifacts.zip,superseded_or_not_selected_as_canonical,,True,99_ARCHIVE/superseded/06_FAQs (2).md,2026-08-09
