Income Stream,Rate,Description
Retail Profit,Up to 30% / 50%,Difference between MRP and Distributor Price (DP)
Binary Income (Matching),10%,"Per pair = Rs 500; Daily capping Rs 2,500; Monthly capping Rs 75,000"
Mentorship Bonus,100% of binary,On business matching incentive of directly sponsored distributors
Generation Income (Repurchase),Up to 30%,Monthly repurchase based income
Performance Incentive,5% - 21%,5 levels based on accumulated BV
Gold Director Bonus,5%,On total monthly group BV
Royalty Income,5%,Gold Director to Gold Director
Platinum Director Bonus,5%,"On company turnover; Criteria 7,50,000 BV"
Travel Fund,2%,On company turnover for Platinum+
Emerald VP Bonus,4%,Criteria 30 Lakh BV
Car Fund,2%,For Emerald VP+
Sapphire VP Bonus,3%,Criteria 1 Crore BV
House Fund,2%,For Sapphire VP+
Diamond President Bonus,3%,Criteria 2.25 Crore BV
Lifestyle Fund,2%,For Diamond President+
Retailer Club Bonus,3%,Self purchase minimum 500 BV monthly
