file_id,filename,extracted_path,provenance_chain,depth,size,file_type,sha256,duplicate_group,exact_dup_count
F00001,Dayjoy AI Ecosystem Enterprise Knowledge Repository & Systems Architecture.docx,/sessions/blissful-zen-albattani/mnt/dayjoy-ai-assist knowledge base/Dayjoy AI Ecosystem Enterprise Knowledge Repository & Systems Architecture.docx,ORIGINAL:Dayjoy AI Ecosystem Enterprise Knowledge Repository & Systems Architecture.docx,0,3061792,docx,81ed77af861c45a6fd86530815f0ff9cfcdea48239321889abe9af67a2cff527,,1
F00002,Dayjoy AI Ecosystem Master Knowledge Base Generation.docx,/sessions/blissful-zen-albattani/mnt/dayjoy-ai-assist knowledge base/Dayjoy AI Ecosystem Master Knowledge Base Generation.docx,ORIGINAL:Dayjoy AI Ecosystem Master Knowledge Base Generation.docx,0,3033055,docx,84b031fce8c5958520deb03cfeb5d0eedd538f4ae82951421ce5a690ee0a61e2,,1
F00003,Dayjoy GrowthX Plan Presentation_choladeck.pdf,/sessions/blissful-zen-albattani/mnt/dayjoy-ai-assist knowledge base/Dayjoy GrowthX Plan Presentation_choladeck.pdf,ORIGINAL:Dayjoy GrowthX Plan Presentation_choladeck.pdf,0,14108638,pdf,605ecbe19593400c8c7708b7be6ffbd570e9f156cd53e53de1a3f9fa22c41dae,DG0003,3
F00004,Dayjoy Product Brochure - English July2026_11zon.pdf,/sessions/blissful-zen-albattani/mnt/dayjoy-ai-assist knowledge base/Dayjoy Product Brochure - English July2026_11zon.pdf,ORIGINAL:Dayjoy Product Brochure - English July2026_11zon.pdf,0,7786816,pdf,411774620f65d70e5951cca93dd992f27c644485a99eebafd3f44a791cf21cfe,DG0004,7
F00005,DayjoyProduct_RecommandationChart - Copy.pdf,/sessions/blissful-zen-albattani/mnt/dayjoy-ai-assist knowledge base/DayjoyProduct_RecommandationChart - Copy.pdf,ORIGINAL:DayjoyProduct_RecommandationChart - Copy.pdf,0,4062276,pdf,1315d8b9e55f32c1320da044f39505593b7d2b419b7bc85db8582c53a6d68a5b,DG0005,4
F00006,canonical-answer-policy.csv,/sessions/blissful-zen-albattani/mnt/dayjoy-ai-assist knowledge base/some updated file/canonical-answer-policy.csv,ORIGINAL:some updated file/canonical-answer-policy.csv,0,863,csv,a59d07914204ab51b9179685253744b2600c8fe9b96ca9bb06f4ec9089d8d97c,DG0006,7
F00007,dayjoy-canonical-product-master-final (1).csv,/sessions/blissful-zen-albattani/mnt/dayjoy-ai-assist knowledge base/some updated file/dayjoy-canonical-product-master-final (1).csv,ORIGINAL:some updated file/dayjoy-canonical-product-master-final (1).csv,0,36077,csv,2d1490adfd0f296a32f990ce1ed5c1aa7d180fc1a12d3a48c1dd3640fec009a4,DG0007,2
F00008,dayjoy-canonical-product-master-final.csv,/sessions/blissful-zen-albattani/mnt/dayjoy-ai-assist knowledge base/some updated file/dayjoy-canonical-product-master-final.csv,ORIGINAL:some updated file/dayjoy-canonical-product-master-final.csv,0,36077,csv,2d1490adfd0f296a32f990ce1ed5c1aa7d180fc1a12d3a48c1dd3640fec009a4,DG0007,2
F00009,dayjoy-data-qa-report-final (1).csv,/sessions/blissful-zen-albattani/mnt/dayjoy-ai-assist knowledge base/some updated file/dayjoy-data-qa-report-final (1).csv,ORIGINAL:some updated file/dayjoy-data-qa-report-final (1).csv,0,417,csv,60633d8222d79cce52260a51cd99bb16c6944248175eb15ae13d89d4228063d8,DG0008,2
F00010,dayjoy-data-qa-report-final.csv,/sessions/blissful-zen-albattani/mnt/dayjoy-ai-assist knowledge base/some updated file/dayjoy-data-qa-report-final.csv,ORIGINAL:some updated file/dayjoy-data-qa-report-final.csv,0,417,csv,60633d8222d79cce52260a51cd99bb16c6944248175eb15ae13d89d4228063d8,DG0008,2
F00011,dayjoy-intent-master-final.csv,/sessions/blissful-zen-albattani/mnt/dayjoy-ai-assist knowledge base/some updated file/dayjoy-intent-master-final.csv,ORIGINAL:some updated file/dayjoy-intent-master-final.csv,0,453430,csv,9a8a434047779669f18d20b71d87d8189a57dc8a83b11f8b819be5fc8d884c93,DG0009,3
F00012,dayjoy-metadata-registry-final (1).csv,/sessions/blissful-zen-albattani/mnt/dayjoy-ai-assist knowledge base/some updated file/dayjoy-metadata-registry-final (1).csv,ORIGINAL:some updated file/dayjoy-metadata-registry-final (1).csv,0,326775,csv,2a9edd20e2f7fd90d35f921fcd7b643515c20266a27a394a1bba5d6561e60caf,DG0010,2
F00013,dayjoy-metadata-registry-final.csv,/sessions/blissful-zen-albattani/mnt/dayjoy-ai-assist knowledge base/some updated file/dayjoy-metadata-registry-final.csv,ORIGINAL:some updated file/dayjoy-metadata-registry-final.csv,0,326775,csv,2a9edd20e2f7fd90d35f921fcd7b643515c20266a27a394a1bba5d6561e60caf,DG0010,2
F00014,dayjoy-product-master.csv,/sessions/blissful-zen-albattani/mnt/dayjoy-ai-assist knowledge base/some updated file/dayjoy-product-master.csv,ORIGINAL:some updated file/dayjoy-product-master.csv,0,18213,csv,f6794931ebfc4264f51a3ef902c1b3ecb11db639a9663974239da6cfd3097af5,DG0011,3
F00015,dayjoy-rag-chunks-final (1).csv,/sessions/blissful-zen-albattani/mnt/dayjoy-ai-assist knowledge base/some updated file/dayjoy-rag-chunks-final (1).csv,ORIGINAL:some updated file/dayjoy-rag-chunks-final (1).csv,0,638128,csv,f08b53fe4946fc599391f99a02291f5205b349e10a0b2d6995d1c569295e902c,DG0012,2
F00016,dayjoy-rag-chunks-final.csv,/sessions/blissful-zen-albattani/mnt/dayjoy-ai-assist knowledge base/some updated file/dayjoy-rag-chunks-final.csv,ORIGINAL:some updated file/dayjoy-rag-chunks-final.csv,0,638128,csv,f08b53fe4946fc599391f99a02291f5205b349e10a0b2d6995d1c569295e902c,DG0012,2
F00017,dayjoy-search-ranking-rules.csv,/sessions/blissful-zen-albattani/mnt/dayjoy-ai-assist knowledge base/some updated file/dayjoy-search-ranking-rules.csv,ORIGINAL:some updated file/dayjoy-search-ranking-rules.csv,0,579,csv,bea7bace038cdf123bd3197bfb46333cc80de1a112ac206badaf082a8687e7b6,DG0013,7
F00018,dayjoy-verification-watchlist (1).csv,/sessions/blissful-zen-albattani/mnt/dayjoy-ai-assist knowledge base/some updated file/dayjoy-verification-watchlist (1).csv,ORIGINAL:some updated file/dayjoy-verification-watchlist (1).csv,0,874,csv,8e9888be37b282c7571b8b9ec0231ae54322570a1368e386f5de23285d8f00b5,DG0014,2
F00019,dayjoy-verification-watchlist.csv,/sessions/blissful-zen-albattani/mnt/dayjoy-ai-assist knowledge base/some updated file/dayjoy-verification-watchlist.csv,ORIGINAL:some updated file/dayjoy-verification-watchlist.csv,0,874,csv,8e9888be37b282c7571b8b9ec0231ae54322570a1368e386f5de23285d8f00b5,DG0014,2
