product_id,product_code,sku,product_name,question,answer,faq_category,sort_order,source_document,source_page_or_section,confidence
1,DJP1000,DJ-FOO-0001,Black Salt Sprinkler (200g),What is Black Salt Sprinkler (200g)?,"Black Salt Sprinkler (200g) is a product under the FOOD PRODUCTS category, offered by the brand Aayushmaan / YumDum / Total Joy.",general_info,1,Various Documents,,medium
1,DJP1000,DJ-FOO-0001,Black Salt Sprinkler (200g),What is the price and business volume (BV) for Black Salt Sprinkler (200g)?,"The MRP is ₹59.0, Distributor Price (DP) is ₹49.0, and the Business Volume (BV) is 10.0.",pricing,2,Various Documents,,high
1,DJP1000,DJ-FOO-0001,Black Salt Sprinkler (200g),Who should use this?,"Anyone looking for premium, wholesome food and spice products to enhance their daily meals.",usage,3,Various Documents,,medium
1,DJP1000,DJ-FOO-0001,Black Salt Sprinkler (200g),Is this product organic?,"Aayushmaan and YumDum products emphasize pure, authentic ingredients. Please check the specific packaging for organic certification.",general_info,4,Various Documents,,medium
1,DJP1000,DJ-FOO-0001,Black Salt Sprinkler (200g),How should it be stored?,Information not available in source documents; requires verification from Dayjoy QA/regulatory team.,storage,5,Various Documents,,low
1,DJP1000,DJ-FOO-0001,Black Salt Sprinkler (200g),What is the shelf life / expiry?,Information not available in source documents; requires verification from Dayjoy QA/regulatory team.,shelf_life,6,Various Documents,,low
1,DJP1000,DJ-FOO-0001,Black Salt Sprinkler (200g),What are the ingredients?,Information not available in source documents; requires verification from Dayjoy QA/regulatory team.,ingredients,7,Various Documents,,low
1,DJP1000,DJ-FOO-0001,Black Salt Sprinkler (200g),Who should avoid it / contraindications?,Information not available in source documents; requires verification from Dayjoy QA/regulatory team.,safety,8,Various Documents,,low
1,DJP1000,DJ-FOO-0001,Black Salt Sprinkler (200g),How does it compare to other FOOD PRODUCTS products?,This product is uniquely formulated under the Aayushmaan / YumDum / Total Joy brand. Specific comparison requires more details on the exact variant you are comparing it to.,comparison,9,Various Documents,,medium
1,DJP1000,DJ-FOO-0001,Black Salt Sprinkler (200g),What is the pack size?,This specific item comes in a 200g pack size.,dosage,10,Various Documents,,medium
1,DJP1000,DJ-FOO-0001,Black Salt Sprinkler (200g),Who manufactures this product?,This product is associated with Adila Biotech / Dayjoy Marketing Pvt. Ltd..,general_info,11,Various Documents,,medium
2,DJP1001,DJ-FOO-0002,Chaat Masala (100g),What is Chaat Masala (100g)?,"Chaat Masala (100g) is a product under the FOOD PRODUCTS category, offered by the brand Aayushmaan / YumDum / Total Joy.",general_info,1,Various Documents,,medium
2,DJP1001,DJ-FOO-0002,Chaat Masala (100g),What is the price and business volume (BV) for Chaat Masala (100g)?,"The MRP is ₹75.0, Distributor Price (DP) is ₹56.0, and the Business Volume (BV) is 10.0.",pricing,2,Various Documents,,high
2,DJP1001,DJ-FOO-0002,Chaat Masala (100g),Who should use this?,"Anyone looking for premium, wholesome food and spice products to enhance their daily meals.",usage,3,Various Documents,,medium
2,DJP1001,DJ-FOO-0002,Chaat Masala (100g),Is this product organic?,"Aayushmaan and YumDum products emphasize pure, authentic ingredients. Please check the specific packaging for organic certification.",general_info,4,Various Documents,,medium
2,DJP1001,DJ-FOO-0002,Chaat Masala (100g),How should it be stored?,Information not available in source documents; requires verification from Dayjoy QA/regulatory team.,storage,5,Various Documents,,low
2,DJP1001,DJ-FOO-0002,Chaat Masala (100g),What is the shelf life / expiry?,Information not available in source documents; requires verification from Dayjoy QA/regulatory team.,shelf_life,6,Various Documents,,low
2,DJP1001,DJ-FOO-0002,Chaat Masala (100g),What are the ingredients?,Information not available in source documents; requires verification from Dayjoy QA/regulatory team.,ingredients,7,Various Documents,,low
2,DJP1001,DJ-FOO-0002,Chaat Masala (100g),Who should avoid it / contraindications?,Information not available in source documents; requires verification from Dayjoy QA/regulatory team.,safety,8,Various Documents,,low
2,DJP1001,DJ-FOO-0002,Chaat Masala (100g),How does it compare to other FOOD PRODUCTS products?,This product is uniquely formulated under the Aayushmaan / YumDum / Total Joy brand. Specific comparison requires more details on the exact variant you are comparing it to.,comparison,9,Various Documents,,medium
2,DJP1001,DJ-FOO-0002,Chaat Masala (100g),What is the pack size?,This specific item comes in a 100g pack size.,dosage,10,Various Documents,,medium
2,DJP1001,DJ-FOO-0002,Chaat Masala (100g),Who manufactures this product?,This product is associated with Adila Biotech / Dayjoy Marketing Pvt. Ltd..,general_info,11,Various Documents,,medium
3,DJP1002,DJ-FOO-0003,Chicken Masala (100g),What is Chicken Masala (100g)?,"Chicken Masala (100g) is a product under the FOOD PRODUCTS category, offered by the brand Aayushmaan / YumDum / Total Joy.",general_info,1,Various Documents,,medium
3,DJP1002,DJ-FOO-0003,Chicken Masala (100g),What is the price and business volume (BV) for Chicken Masala (100g)?,"The MRP is ₹110.0, Distributor Price (DP) is ₹90.0, and the Business Volume (BV) is 15.0.",pricing,2,Various Documents,,high
3,DJP1002,DJ-FOO-0003,Chicken Masala (100g),Who should use this?,"Anyone looking for premium, wholesome food and spice products to enhance their daily meals.",usage,3,Various Documents,,medium
3,DJP1002,DJ-FOO-0003,Chicken Masala (100g),Is this product organic?,"Aayushmaan and YumDum products emphasize pure, authentic ingredients. Please check the specific packaging for organic certification.",general_info,4,Various Documents,,medium
3,DJP1002,DJ-FOO-0003,Chicken Masala (100g),How should it be stored?,Information not available in source documents; requires verification from Dayjoy QA/regulatory team.,storage,5,Various Documents,,low
3,DJP1002,DJ-FOO-0003,Chicken Masala (100g),What is the shelf life / expiry?,Information not available in source documents; requires verification from Dayjoy QA/regulatory team.,shelf_life,6,Various Documents,,low
3,DJP1002,DJ-FOO-0003,Chicken Masala (100g),What are the ingredients?,Information not available in source documents; requires verification from Dayjoy QA/regulatory team.,ingredients,7,Various Documents,,low
3,DJP1002,DJ-FOO-0003,Chicken Masala (100g),Who should avoid it / contraindications?,Information not available in source documents; requires verification from Dayjoy QA/regulatory team.,safety,8,Various Documents,,low
3,DJP1002,DJ-FOO-0003,Chicken Masala (100g),How does it compare to other FOOD PRODUCTS products?,This product is uniquely formulated under the Aayushmaan / YumDum / Total Joy brand. Specific comparison requires more details on the exact variant you are comparing it to.,comparison,9,Various Documents,,medium
3,DJP1002,DJ-FOO-0003,Chicken Masala (100g),What is the pack size?,This specific item comes in a 100g pack size.,dosage,10,Various Documents,,medium
3,DJP1002,DJ-FOO-0003,Chicken Masala (100g),Who manufactures this product?,This product is associated with Adila Biotech / Dayjoy Marketing Pvt. Ltd..,general_info,11,Various Documents,,medium
4,DJP1003,DJ-FOO-0004,Daily Tea (250g),What is Daily Tea (250g)?,"Daily Tea (250g) is a product under the FOOD PRODUCTS category, offered by the brand Aayushmaan / YumDum / Total Joy.",general_info,1,Various Documents,,medium
4,DJP1003,DJ-FOO-0004,Daily Tea (250g),What is the price and business volume (BV) for Daily Tea (250g)?,"The MRP is ₹169.0, Distributor Price (DP) is ₹125.0, and the Business Volume (BV) is 20.0.",pricing,2,Various Documents,,high
