source_product_no,product_name,category,mrp_inr,dp_inr,bv,pv,pack_size,sku,ingredients,benefits,usage,dosage,warnings,certifications,product_image_url,source_file,source_page,effective_date,confidence,data_status
1,Black Salt Sprinkler 200g,Food Products,59,49,10.0,,200g,,,,,,,,,India-BV-Price-May-2026.pdf,1-4,2026-05-05,high,Price list verified; detailed product specification not provided in price-list source.
2,Chaat Masala 100g,Food Products,75,56,10.0,,100g,,,,,,,,,India-BV-Price-May-2026.pdf,1-4,2026-05-05,high,Price list verified; detailed product specification not provided in price-list source.
3,Chicken Masala 100g,Food Products,110,90,15.0,,100g,,,,,,,,,India-BV-Price-May-2026.pdf,1-4,2026-05-05,high,Price list verified; detailed product specification not provided in price-list source.
4,Daily Tea 250g,Food Products,169,125,20.0,,250g,,,,,,,,,India-BV-Price-May-2026.pdf,1-4,2026-05-05,high,Price list verified; detailed product specification not provided in price-list source.
5,Daily Tea 500g,Food Products,329,245,39.0,,500g,,,,,,,,,India-BV-Price-May-2026.pdf,1-4,2026-05-05,high,Price list verified; detailed product specification not provided in price-list source.
6,Dhaniya Powder 25g,Food Products,20,15,1.0,,25g,,,,,,,,,India-BV-Price-May-2026.pdf,1-4,2026-05-05,high,Price list verified; detailed product specification not provided in price-list source.
7,Dhaniya Powder 200g,Food Products,95,75,14.0,,200g,,,,,,,,,India-BV-Price-May-2026.pdf,1-4,2026-05-05,high,Price list verified; detailed product specification not provided in price-list source.
8,Dhaniya Powder 500g,Food Products,210,170,30.0,,500g,,,,,,,,,India-BV-Price-May-2026.pdf,1-4,2026-05-05,high,Price list verified; detailed product specification not provided in price-list source.
9,Garam Masala 100g,Food Products,110,99,20.0,,100g,,,,,,,,,India-BV-Price-May-2026.pdf,1-4,2026-05-05,high,Price list verified; detailed product specification not provided in price-list source.
10,Haldi Powder 25g,Food Products,20,15,1.0,,25g,,,,,,,,,India-BV-Price-May-2026.pdf,1-4,2026-05-05,high,Price list verified; detailed product specification not provided in price-list source.
11,Haldi Powder 200g,Food Products,135,80,12.0,,200g,,,,,,,,,India-BV-Price-May-2026.pdf,1-4,2026-05-05,high,Price list verified; detailed product specification not provided in price-list source.
12,Haldi Powder 500g,Food Products,320,200,28.0,,500g,,,,,,,,,India-BV-Price-May-2026.pdf,1-4,2026-05-05,high,Price list verified; detailed product specification not provided in price-list source.
13,Himalayan Pink Salt Sprinkler 200g,Organic salt,75,60,13.0,,200g,,Himalayan Pink Salt,Digestion; hydration; clean subtle taste,Culinary use,,,,,Dayjoy-Product-Brochure-English-July2026_11zon.pdf,1-4,2026-07,high,Enriched from Dayjoy-Product-Brochure-English-July2026.pdf
