intent_id,question,answer,intent_category,subcategory,product_name,product_code,sku,confidence,source_reference,notes,normalized_question,normalized_symptom,recommended_product,intent_bucket,approved_by,governance_reviewed,entities,required_tool,answer_source,category_type
SUPP-001,What is 15% of 2500?,15% of 2500 is 375.,general_ai,math_utility,,,,n/a,SUPPLEMENTARY_SYNTHETIC - see notes,General arithmetic help unrelated to Dayjoy data; safe to answer directly with general reasoning.,what is 15% of 2500,,,customer_safe_intent,,False,,general_ai,not_available,SUPPLEMENTARY_SYNTHETIC
SUPP-002,Convert 500ml to litres.,500ml is equal to 0.5 litres.,general_ai,unit_conversion,,,,n/a,SUPPLEMENTARY_SYNTHETIC - see notes,"General unit conversion, no Dayjoy fact involved.",convert 500ml to litres.,,,customer_safe_intent,,False,,general_ai,not_available,SUPPLEMENTARY_SYNTHETIC
SUPP-003,What day of the week is 15 August 2026?,15 August 2026 falls on a Saturday.,general_ai,calendar_utility,,,,n/a,SUPPLEMENTARY_SYNTHETIC - see notes,"Calendar calculation, general knowledge, not a Dayjoy fact.",what day of the week is 15 august 2026,,,customer_safe_intent,,False,,general_ai,not_available,SUPPLEMENTARY_SYNTHETIC
SUPP-004,"Hi, how are you?","Hello! I'm doing well and ready to help with any Dayjoy product, pricing, or business questions you have.",general_ai,greeting,,,,n/a,SUPPLEMENTARY_SYNTHETIC - see notes,"Small talk/greeting; general conversational response, no Dayjoy fact invoked.","hi, how are you",,,customer_safe_intent,,False,,general_ai,not_available,SUPPLEMENTARY_SYNTHETIC
SUPP-005,What does BV stand for in direct selling generally?,"In direct selling, BV commonly stands for Business Volume — a point value assigned to products used to calculate commissions and incentives. For Dayjoy's specific BV figures on a product, I can look that up for you.",general_ai,term_definition,,,,n/a,SUPPLEMENTARY_SYNTHETIC - see notes,"General industry-term definition; specific Dayjoy BV values must come from pricing_database, not this general explanation.",what does bv stand for in direct selling generally,,,customer_safe_intent,,False,,general_ai,not_available,SUPPLEMENTARY_SYNTHETIC
SUPP-006,How do I convert grams to kilograms?,"Divide the number of grams by 1000 to get kilograms. For example, 500g = 0.5kg.",general_ai,unit_conversion,,,,n/a,SUPPLEMENTARY_SYNTHETIC - see notes,General math/unit conversion help.,how do i convert grams to kilograms,,,customer_safe_intent,,False,,general_ai,not_available,SUPPLEMENTARY_SYNTHETIC
SUPP-007,What's a good way to remember my distributor ID?,A common approach is to store it in your phone's notes app or write it in a dedicated notebook alongside your login details. I can't access or generate your specific Dayjoy distributor ID myself.,general_ai,general_tip,,,,n/a,SUPPLEMENTARY_SYNTHETIC - see notes,"General productivity tip, not a Dayjoy-specific fact.",what's a good way to remember my distributor id,,,customer_safe_intent,,False,,general_ai,not_available,SUPPLEMENTARY_SYNTHETIC
SUPP-008,Can you help me write a polite reminder message to a customer about a pending payment?,"Sure — for example: ""Hi [Name], just a friendly reminder that your payment of [amount] is pending. Please let us know if you have any questions. Thank you!"" You can customize the amount and product details.",general_ai,writing_help,,,,n/a,SUPPLEMENTARY_SYNTHETIC - see notes,"General writing assistance; template only, no fabricated Dayjoy figures inserted.",can you help me write a polite reminder message to a customer about a pending payment,,,customer_safe_intent,,False,,general_ai,not_available,SUPPLEMENTARY_SYNTHETIC
SUPP-009,What is the difference between MRP and DP in general retail terms?,"MRP (Maximum Retail Price) is the price a customer pays at retail. DP (Distributor Price) is the discounted price a distributor pays to purchase stock, generally lower than MRP so the distributor can earn margin on resale. For Dayjoy's specific MRP/DP on a product, I can look that up.",general_ai,term_definition,,,,n/a,SUPPLEMENTARY_SYNTHETIC - see notes,General retail terminology explanation; specific values must come from pricing_database.,what is the difference between mrp and dp in general retail terms,,,customer_safe_intent,,False,,general_ai,not_available,SUPPLEMENTARY_SYNTHETIC
SUPP-010,What's 1080 divided by 24?,1080 divided by 24 is 45.,general_ai,math_utility,,,,n/a,SUPPLEMENTARY_SYNTHETIC - see notes,"General arithmetic, unrelated to Dayjoy data.",what's 1080 divided by 24,,,customer_safe_intent,,False,,general_ai,not_available,SUPPLEMENTARY_SYNTHETIC
