product_code,sku,product_name,brand,category,subcategory,pack_size,mrp,distributor_price,bv,pv,source_document_id,source_version,approval_status,effective_from,effective_to,missing_fields_count,risk_level
DJP1000,DJ-FOO-0001,Black Salt Sprinkler (200g),Dayjoy,Black Salt Sprinkler,,200g,,,,,dayjoy-product-master + india-bv-price-may-2026,2026-08-04,pending_enrichment,2026-05-01,,3,high
DJP1001,DJ-FOO-0002,Chaat Masala (100g),Dayjoy,Chaat Masala,,100g,,,,,dayjoy-product-master + india-bv-price-may-2026,2026-08-04,pending_enrichment,2026-05-01,,3,high
DJP1002,DJ-FOO-0003,Chicken Masala (100g),Dayjoy,Chicken Masala,,100g,,,,,dayjoy-product-master + india-bv-price-may-2026,2026-08-04,pending_enrichment,2026-05-01,,3,high
DJP1003,DJ-FOO-0004,Daily Tea (250g),Dayjoy,Daily Tea,,250g,,,,,dayjoy-product-master + india-bv-price-may-2026,2026-08-04,pending_enrichment,2026-05-01,,3,high
DJP1004,DJ-FOO-0005,Daily Tea (500g),Dayjoy,Daily Tea,,500g,,,,,dayjoy-product-master + india-bv-price-may-2026,2026-08-04,pending_enrichment,2026-05-01,,3,high
DJP1005,DJ-FOO-0006,Dhaniya Powder (25g),Dayjoy,Dhaniya Powder,,25g,,,,,dayjoy-product-master + india-bv-price-may-2026,2026-08-04,pending_enrichment,2026-05-01,,3,high
DJP1006,DJ-FOO-0007,Dhaniya Powder (200g),Dayjoy,Dhaniya Powder,,200g,,,,,dayjoy-product-master + india-bv-price-may-2026,2026-08-04,pending_enrichment,2026-05-01,,3,high
DJP1007,DJ-FOO-0008,Dhaniya Powder (500g),Dayjoy,Dhaniya Powder,,500g,,,,,dayjoy-product-master + india-bv-price-may-2026,2026-08-04,pending_enrichment,2026-05-01,,3,high
DJP1008,DJ-FOO-0009,Garam Masala (100g),Dayjoy,Garam Masala,,100g,,,,,dayjoy-product-master + india-bv-price-may-2026,2026-08-04,pending_enrichment,2026-05-01,,3,high
DJP1009,DJ-FOO-0010,Haldi Powder (25g),Dayjoy,Haldi Powder,,25g,,,,,dayjoy-product-master + india-bv-price-may-2026,2026-08-04,pending_enrichment,2026-05-01,,3,high
